127.0.0.1 - - [30/Nov/2017:13:16:51 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:16:53 +0530] "GET /EFlowerFrontend/ HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:16:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:17:04 +0530] "GET /EFlowerFrontend/login HTTP/1.1" 200 4188
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:17:11 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:17:14 +0530] "POST /EFlowerFrontend/addUser HTTP/1.1" 500 15862
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:30:22 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:52:47 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:52:49 +0530] "POST /EFlowerFrontend/addUser HTTP/1.1" 200 5023
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:53:41 +0530] "POST /EFlowerFrontend/addUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:53:41 +0530] "POST /EFlowerFrontend/addUser HTTP/1.1" 500 31984
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:56:56 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:56:58 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:57:39 +0530] "POST /EFlowerFrontend/addUser HTTP/1.1" 200 4218
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:57:46 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:57:49 +0530] "POST /EFlowerFrontend/addUser HTTP/1.1" 200 5023
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:59:46 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:59:48 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [30/Nov/2017:13:59:50 +0530] "POST /EFlowerFrontend/addUser HTTP/1.1" 200 5041
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:01:33 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:01:34 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:01:34 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:01:37 +0530] "POST /EFlowerFrontend/addUser HTTP/1.1" 200 5095
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:01:49 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [30/Nov/2017:14:01:50 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:34:40 +0530] "POST /EFlowerFrontend/addUser HTTP/1.1" 200 5095
0:0:0:0:0:0:0:1 - - [30/Nov/2017:16:35:00 +0530] "POST /EFlowerFrontend/addUser HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:23:28 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4851
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:31:27 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4861
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:31:29 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4861
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:31:33 +0530] "GET /EFlowerFrontend/addUser HTTP/1.1" 405 1088
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:31:35 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4861
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:31:38 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4861
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:31:39 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4861
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:31:41 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4861
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:31:59 +0530] "POST /EFlowerFrontend/addUser HTTP/1.1" 200 5061
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:40:13 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4919
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:40:18 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4919
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:40:36 +0530] "POST /EFlowerFrontend/addUser HTTP/1.1" 200 5120
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:40:43 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4919
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:41:04 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4919
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:41:42 +0530] "POST /EFlowerFrontend/addUser HTTP/1.1" 200 5120
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:43:51 +0530] "POST /EFlowerFrontend/addUser HTTP/1.1" 200 5118
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:43:58 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4917
0:0:0:0:0:0:0:1 - - [30/Nov/2017:17:44:00 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 4917
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:00:54 +0530] "GET /EFlowerFrontend/addUser HTTP/1.1" 405 1088
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:00:56 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 5080
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:00:58 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 5080
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:01:00 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 5080
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:03:01 +0530] "POST /EFlowerFrontend/addUser HTTP/1.1" 200 4218
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:04:09 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 5079
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:04:12 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 5079
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:05:14 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 5079
0:0:0:0:0:0:0:1 - - [30/Nov/2017:18:06:21 +0530] "GET /EFlowerFrontend/Sign_up HTTP/1.1" 200 5079
